Provider Group Level based on AandE Type 1,Provider Code,Metrices Type,Metric,Label,SD away from Hospital Average,SD away from National Average
Bet Bottom & Top,R0B,Monthly,Emerg_Adms_Via_Type1,M4,0.12,0.77
Bet Bottom & Top,R0B,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.77,0.2
Bet Bottom & Top,R0B,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.17,0.54
Bet Bottom & Top,R0B,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.37,-0.93
Bet Bottom & Top,R1H,Monthly,AandE_Attends_Type1,M1,-0.18,2.42
Bet Bottom & Top,R1H,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.36,2.08
Bet Bottom & Top,R1H,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.16,2.39
Bet Bottom & Top,R1H,Monthly,Emerg_Adms_Via_Type1,M4,1.7,1.44
Bet Bottom & Top,R1H,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.16,0.08
Bet Bottom & Top,R1H,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.31,3.67
Bet Bottom & Top,R1H,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.68,1.35
Bet Bottom & Top,RAX,Monthly,AandE_Attends_Type1,M1,0.39,-0.67
Bet Bottom & Top,RAX,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.66,-0.83
Bet Bottom & Top,RAX,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.93,-0.37
Bet Bottom & Top,RAX,Monthly,Emerg_Adms_Via_Type1,M4,-0.55,-0.74
Bet Bottom & Top,RAX,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.26,-0.51
Bet Bottom & Top,RAX,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.44,-0.87
Bet Bottom & Top,RAX,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.4,-0.01
Bet Bottom & Top,R1K,Monthly,AandE_Attends_Type1,M1,1.71,0.43
Bet Bottom & Top,R1K,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.04,0.22
Bet Bottom & Top,R1K,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.64,0.59
Bet Bottom & Top,R1K,Monthly,Emerg_Adms_Via_Type1,M4,2.19,2.36
Bet Bottom & Top,R1K,Monthly,Emerg_Adms_Not_Via_AandE,M5,-0.82,0.28
Bet Bottom & Top,R1K,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.23,0.13
Bet Bottom & Top,R1K,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.34,0.24
Bet Bottom & Top,RAP,Monthly,AandE_Attends_Type1,M1,1.18,-0.17
Bet Bottom & Top,RAP,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.97,-0.43
Bet Bottom & Top,RAP,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1.06,0.14
Bet Bottom & Top,RAP,Monthly,Emerg_Adms_Via_Type1,M4,-0.08,-0.87
Bet Bottom & Top,RAP,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.78,-1.07
Bet Bottom & Top,RAP,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.06,-0.59
Bet Bottom & Top,RAP,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.7,0.91
Bet Bottom & Top,RAL,Monthly,AandE_Attends_Type1,M1,-2.27,1.16
Bet Bottom & Top,RAL,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-2.72,0.87
Bet Bottom & Top,RAL,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.66,1.29
Bet Bottom & Top,RAL,Monthly,Emerg_Adms_Via_Type1,M4,2.41,0.43
Bet Bottom & Top,RAL,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.62,-0.7
Bet Bottom & Top,RAL,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.08,0.68
Bet Bottom & Top,RAL,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.33,0.58
Bottom 10%,RAS,Monthly,AandE_Attends_Type1,M1,0.91,-0.9
Bottom 10%,RAS,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.48,-1.16
Bottom 10%,RAS,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.35,-0.45
Bottom 10%,RAS,Monthly,Emerg_Adms_Via_Type1,M4,2.54,-0.8
Bottom 10%,RAS,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.34,-0.86
Bottom 10%,RAS,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.67,-0.41
Bottom 10%,RAS,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.3,-0.88
Bet Bottom & Top,RA2,Monthly,AandE_Attends_Type1,M1,0.85,-0.78
Bet Bottom & Top,RA2,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,2.05,-0.66
Bet Bottom & Top,RA2,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.62,-0.77
Bet Bottom & Top,RA2,Monthly,Emerg_Adms_Via_Type1,M4,1.7,-0.46
Bet Bottom & Top,RA2,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.53,-0.15
Bet Bottom & Top,RA2,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.12,-0.55
Bet Bottom & Top,RA2,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.17,-0.93
Bet Bottom & Top,RA7,Monthly,AandE_Attends_Type1,M1,0.22,0.64
Bet Bottom & Top,RA7,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.88,0.88
Bet Bottom & Top,RA7,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-1.07,0.28
Bet Bottom & Top,RA7,Monthly,Emerg_Adms_Via_Type1,M4,1.97,1.01
Bet Bottom & Top,RA7,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.79,0.31
Bet Bottom & Top,RA7,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.4,0.68
Bet Bottom & Top,RA7,Monthly,Dec_To_Adm_Over_12Hrs,M7,-1.08,0.59
Bottom 10%,RA9,Monthly,AandE_Attends_Type1,M1,0.43,-0.98
Bottom 10%,RA9,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.73,-1.35
Bottom 10%,RA9,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.06,-0.4
Bottom 10%,RA9,Monthly,Emerg_Adms_Via_Type1,M4,2.26,-0.74
Bottom 10%,RA9,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.15,0.11
Bottom 10%,RA9,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.41,-0.4
Bottom 10%,RA9,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.5,-0.36
Bet Bottom & Top,RBK,Monthly,AandE_Attends_Type1,M1,-0.12,-0.56
Bet Bottom & Top,RBK,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.51,-0.45
Bet Bottom & Top,RBK,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.11,-0.59
Bet Bottom & Top,RBK,Monthly,Emerg_Adms_Via_Type1,M4,2.12,0.08
Bet Bottom & Top,RBK,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.07,-0.27
Bet Bottom & Top,RBK,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.95,0.36
Bet Bottom & Top,RBK,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.96,-0.2
Bet Bottom & Top,RAE,Monthly,AandE_Attends_Type1,M1,-0.05,-0.07
Bet Bottom & Top,RAE,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.33,0.35
Bet Bottom & Top,RAE,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.33,-0.53
Bet Bottom & Top,RAE,Monthly,Emerg_Adms_Via_Type1,M4,1.35,-0.14
Bet Bottom & Top,RAE,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.24,0.53
Bet Bottom & Top,RAE,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.74,0.35
Bet Bottom & Top,RAE,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.73,-0.7
Bet Bottom & Top,RBL,Monthly,AandE_Attends_Type1,M1,0.34,-0.56
Bet Bottom & Top,RBL,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.34,-0.65
Bet Bottom & Top,RBL,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.31,-0.37
Bet Bottom & Top,RBL,Monthly,Emerg_Adms_Via_Type1,M4,-0.6,-0.72
Bet Bottom & Top,RBL,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.04,0.64
Bet Bottom & Top,RBL,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.43,-0.48
Bet Bottom & Top,RBD,Monthly,AandE_Attends_Type1,M1,0.36,-1.26
Bet Bottom & Top,RBD,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.58,-1.28
Bet Bottom & Top,RBD,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.02,-1.01
Bet Bottom & Top,RBD,Monthly,Emerg_Adms_Via_Type1,M4,-0.27,-1.06
Bet Bottom & Top,RBD,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.74,-0.72
Bet Bottom & Top,RBD,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.81,-1.02
Bet Bottom & Top,RBD,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.24,-0.9
Bet Bottom & Top,RBL,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.84,-0.19
Bet Bottom & Top,RBN,Monthly,AandE_Attends_Type1,M1,0.62,-0.17
Bet Bottom & Top,RBN,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.98,-0.45
Bet Bottom & Top,RBN,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.01,0.17
Bet Bottom & Top,RBN,Monthly,Emerg_Adms_Via_Type1,M4,2.4,1.36
Bet Bottom & Top,RBN,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.13,-0.73
Bet Bottom & Top,RBN,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.58,-0.94
Bet Bottom & Top,RBN,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.44,-0.94
Bet Bottom & Top,RBT,Monthly,AandE_Attends_Type1,M1,0.82,-0.73
Bet Bottom & Top,RBT,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.23,-0.99
Bet Bottom & Top,RBT,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.06,-0.32
Bet Bottom & Top,RBT,Monthly,Emerg_Adms_Via_Type1,M4,1.21,-0.35
Bet Bottom & Top,RBT,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.61,-0.2
Bet Bottom & Top,RBT,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.99,-0.3
Bet Bottom & Top,RBT,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.57,0.29
Bet Bottom & Top,RCB,Monthly,AandE_Attends_Type1,M1,0.71,-0.25
Bet Bottom & Top,RCB,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.25,-0.63
Bet Bottom & Top,RCB,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1.43,0.21
Bet Bottom & Top,RCB,Monthly,Emerg_Adms_Via_Type1,M4,2.12,0.62
Bet Bottom & Top,RCB,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.74,0.66
Bet Bottom & Top,RCB,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.85,0.03
Bet Bottom & Top,RCB,Monthly,Dec_To_Adm_Over_12Hrs,M7,1,2.07
Top 10%,RCD,Monthly,AandE_Attends_Type1,M1,0.53,-1.21
Top 10%,RCD,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,2.24,-0.92
Top 10%,RCD,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-1.23,-1.32
Top 10%,RCD,Monthly,Emerg_Adms_Via_Type1,M4,1.06,-1.18
Top 10%,RCD,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.9,-0.71
Top 10%,RCD,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.46,-0.91
Top 10%,RCD,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.38,-0.82
Bet Bottom & Top,RCF,Monthly,AandE_Attends_Type1,M1,-0.63,-1.03
Bet Bottom & Top,RCF,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.49,-1.06
Bet Bottom & Top,RCF,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.2,-0.81
Bet Bottom & Top,RCF,Monthly,Emerg_Adms_Via_Type1,M4,-0.37,-1.02
Bet Bottom & Top,RCF,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.13,-0.56
Bet Bottom & Top,RCF,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.11,-0.67
Bet Bottom & Top,RCF,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.52,-0.94
Bet Bottom & Top,RCX,Monthly,AandE_Attends_Type1,M1,-1.27,-0.85
Bet Bottom & Top,RCX,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-1.45,-0.83
Bet Bottom & Top,RCX,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.61,-0.73
Bet Bottom & Top,RCX,Monthly,Emerg_Adms_Via_Type1,M4,1.44,-0.46
Bet Bottom & Top,RCX,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.61,-0.54
Bet Bottom & Top,RCX,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.4,-0.15
Bet Bottom & Top,RCX,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.33,0.53
Bet Bottom & Top,RD1,Monthly,AandE_Attends_Type1,M1,0.22,-0.59
Bet Bottom & Top,RD1,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.56,-0.71
Bet Bottom & Top,RD1,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.77,-0.35
Bet Bottom & Top,RD1,Monthly,Emerg_Adms_Via_Type1,M4,0.47,-0.46
Bet Bottom & Top,RD1,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.19,0.31
Bet Bottom & Top,RD1,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.21,0.03
Bet Bottom & Top,RD1,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.19,-0.85
Bet Bottom & Top,RN3,Monthly,AandE_Attends_Type1,M1,-0.4,-1.12
Bet Bottom & Top,RN3,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.42,-1.08
Bet Bottom & Top,RN3,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-1.04,-0.96
Bet Bottom & Top,RN3,Monthly,Emerg_Adms_Via_Type1,M4,-0.43,-0.71
Bet Bottom & Top,RN3,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.04,0.5
Bet Bottom & Top,RN3,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.97,-0.83
Bet Bottom & Top,RN3,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.49,-0.46
Bet Bottom & Top,RD8,Monthly,AandE_Attends_Type1,M1,-0.17,-0.49
Bet Bottom & Top,RD8,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.12,-0.15
Bet Bottom & Top,RD8,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.07,-0.78
Bet Bottom & Top,RD8,Monthly,Emerg_Adms_Via_Type1,M4,-0.07,-0.88
Bet Bottom & Top,RD8,Monthly,Emerg_Adms_Not_Via_AandE,M5,-0.13,-0.75
Bet Bottom & Top,RD8,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.2,-0.28
Bet Bottom & Top,RNZ,Monthly,AandE_Attends_Type1,M1,0.12,-1.29
Bet Bottom & Top,RNZ,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.36,-1.23
Bet Bottom & Top,RNZ,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.26,-1.13
Bet Bottom & Top,RNZ,Monthly,Emerg_Adms_Via_Type1,M4,1.03,-1.14
Bet Bottom & Top,RNZ,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.39,-0.31
Bet Bottom & Top,RNZ,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.43,-0.64
Bet Bottom & Top,RNZ,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.76,-0.93
Bet Bottom & Top,RRK,Monthly,AandE_Attends_Type1,M1,0.25,4.06
Bet Bottom & Top,RRK,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.01,3.4
Bet Bottom & Top,RRK,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.56,4.11
Bet Bottom & Top,RRK,Monthly,Emerg_Adms_Via_Type1,M4,1.77,4.26
Bet Bottom & Top,RRK,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.04,5.09
Bet Bottom & Top,RRK,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.44,4.36
Bet Bottom & Top,RRK,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.77,2.88
Bet Bottom & Top,RDE,Monthly,AandE_Attends_Type1,M1,-0.02,0.64
Bet Bottom & Top,RDE,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.97,0.11
Bet Bottom & Top,RDE,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.98,1.12
Bet Bottom & Top,RDE,Monthly,Emerg_Adms_Via_Type1,M4,2.25,1.01
Bet Bottom & Top,RDE,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.28,-0.09
Bet Bottom & Top,RDE,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.66,1.07
Bet Bottom & Top,RDE,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.12,-0.21
Bet Bottom & Top,RTH,Monthly,AandE_Attends_Type1,M1,0.06,0.3
Bet Bottom & Top,RTH,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.42,0.33
Bet Bottom & Top,RTH,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.32,0.21
Bet Bottom & Top,RTH,Monthly,Emerg_Adms_Via_Type1,M4,1.23,0.41
Bet Bottom & Top,RTH,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.18,3.65
Bet Bottom & Top,RTH,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.31,0.4
Bet Bottom & Top,RTH,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.96,-0.94
Bet Bottom & Top,RHW,Monthly,AandE_Attends_Type1,M1,0.19,0.3
Bet Bottom & Top,RHW,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.28,0.69
Bottom 10%,REF,Monthly,AandE_Attends_Type1,M1,-0.11,-1.01
Bet Bottom & Top,RHW,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.02,-0.18
Bottom 10%,REF,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.52,-1.3
Bet Bottom & Top,RHW,Monthly,Emerg_Adms_Via_Type1,M4,-1.61,-0.39
Bottom 10%,REF,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.32,-0.52
Bet Bottom & Top,RHW,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.28,-0.3
Bottom 10%,REF,Monthly,Emerg_Adms_Via_Type1,M4,0.25,-0.72
Bet Bottom & Top,RHW,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.68,-0.29
Bottom 10%,REF,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.23,0.22
Bet Bottom & Top,RGN,Monthly,AandE_Attends_Type1,M1,0.27,0.29
Bottom 10%,REF,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.94,-0.64
Bet Bottom & Top,RGN,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.23,0.13
Bottom 10%,REF,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.02,1.08
Bet Bottom & Top,RGN,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.66,0.41
Bet Bottom & Top,REM,Monthly,AandE_Attends_Type1,M1,0.53,1.25
Bet Bottom & Top,RGN,Monthly,Emerg_Adms_Via_Type1,M4,0.33,0
Bet Bottom & Top,REM,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.97,1.2
Bet Bottom & Top,RGN,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.01,0.32
Bet Bottom & Top,REM,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.87,1.1
Bet Bottom & Top,RGN,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.28,-0.33
Bet Bottom & Top,REM,Monthly,Emerg_Adms_Via_Type1,M4,-0.13,1.1
Bet Bottom & Top,RGN,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.51,1.27
Bet Bottom & Top,REM,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.32,1.09
Bet Bottom & Top,RJR,Monthly,AandE_Attends_Type1,M1,-0.38,-0.86
Bet Bottom & Top,REM,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.79,2.36
Bet Bottom & Top,RJR,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.22,-0.9
Bet Bottom & Top,REM,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.28,3.07
Bet Bottom & Top,RJR,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.33,-0.67
Bottom 10%,RF4,Monthly,AandE_Attends_Type1,M1,0.22,0.24
Bet Bottom & Top,RJR,Monthly,Emerg_Adms_Via_Type1,M4,0.48,-0.98
Bottom 10%,RF4,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.35,-0.67
Bet Bottom & Top,RJR,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.95,0.01
Bottom 10%,RF4,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.43,1.22
Bet Bottom & Top,RJR,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.35,-0.55
Bottom 10%,RF4,Monthly,Emerg_Adms_Via_Type1,M4,0.55,0.86
Bet Bottom & Top,RJR,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.76,1.19
Bottom 10%,RF4,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.05,-0.77
Bet Bottom & Top,RJN,Monthly,AandE_Attends_Type1,M1,-0.12,-1.3
Bottom 10%,RF4,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.61,-0.06
Bet Bottom & Top,RJN,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.11,-1.33
Bottom 10%,RF4,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.55,1.25
Bet Bottom & Top,RJN,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.23,-1.05
Bet Bottom & Top,RFF,Monthly,AandE_Attends_Type1,M1,-0.73,-0.54
Bet Bottom & Top,RJN,Monthly,Emerg_Adms_Via_Type1,M4,-0.12,-1.38
Bet Bottom & Top,RFF,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.11,-0.34
Bet Bottom & Top,RJN,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.65,-1.1
Bet Bottom & Top,RFF,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.4,-0.66
Bet Bottom & Top,RJN,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.88,-0.83
Bet Bottom & Top,RFF,Monthly,Emerg_Adms_Via_Type1,M4,1.52,-0.29
Bet Bottom & Top,RJN,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.5,0.07
Bet Bottom & Top,RFF,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.19,-0.65
Bet Bottom & Top,RFF,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.46,-0.71
